Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 221,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/221,119th Congress (2025-2026),"To abolish the Bureau of Alcohol, Tobacco, Firearms and Explosives.","Burlison, Eric [Rep.-R-MO-7] (Introduced 01/07/2025)",Republican,1/7/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/7/2025,"Boebert, Lauren [Rep.-R-CO-4]","Biggs, Andy [Rep.-R-AZ-5]","Collins, Mike [Rep.-R-GA-10]","Onder, Robert [Rep.-R-MO-3]","Ogles, Andrew [Rep.-R-TN-5]","Miller, Mary E. [Rep.-R-IL-15]","Self, Keith [Rep.-R-TX-3]","Gosar, Paul A. [Rep.-R-AZ-9]","Moore, Barry [Rep.-R-AL-1]","Massie, Thomas [Rep.-R-KY-4]","Hamadeh, Abraham [Rep.-R-AZ-8]","Davidson, Warren [Rep.-R-OH-8]","Crank, Jeff [Rep.-R-CO-5]","Gill, Brandon [Rep.-R-TX-26]","Luna, Anna Paulina [Rep.-R-FL-13]","Fulcher, Russ [Rep.-R-ID-1]","Cloud, Michael [Rep.-R-TX-27]","Stutzman, Marlin A. [Rep.-R-IN-3]","Burchett, Tim [Rep.-R-TN-2]","Alford, Mark [Rep.-R-MO-4]","McGuire, John [Rep.-R-VA-5]","Spartz, Victoria [Rep.-R-IN-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 220,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/220,119th Congress (2025-2026),"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to provide coverage for infertility treatment and standard fertility preservation services, and for other purposes.","Brownley, Julia [Rep.-D-CA-26] (Introduced 01/07/2025)",Democratic,1/7/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/7/2025,"Watson Coleman, Bonnie [Rep.-D-NJ-12]","Moore, Gwen [Rep.-D-WI-4]","Tlaib, Rashida [Rep.-D-MI-12]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Landsman, Greg [Rep.-D-OH-1]","Thompson, Bennie G. [Rep.-D-MS-2]","Garcia, Sylvia R. [Rep.-D-TX-29]","Dingell, Debbie [Rep.-D-MI-6]","Norton, Eleanor Holmes [Del.-D-DC]","Magaziner, Seth [Rep.-D-RI-2]","Trahan, Lori [Rep.-D-MA-3]","Foushee, Valerie P. [Rep.-D-NC-4]","Pingree, Chellie [Rep.-D-ME-1]","Ramirez, Delia C. [Rep.-D-IL-3]","Leger Fernandez, Teresa [Rep.-D-NM-3]","Tokuda, Jill N. [Rep.-D-HI-2]","Strickland, Marilyn [Rep.-D-WA-10]","Tonko, Paul [Rep.-D-NY-20]","Scanlon, Mary Gay [Rep.-D-PA-5]","Larson, John B. [Rep.-D-CT-1]","Levin, Mike [Rep.-D-CA-49]","Ross, Deborah K. [Rep.-D-NC-2]","Casar, Greg [Rep.-D-TX-35]","Lofgren, Zoe [Rep.-D-CA-18]","McIver, LaMonica [Rep.-D-NJ-10]","Hayes, Jahana [Rep.-D-CT-5]","Golden, Jared F. [Rep.-D-ME-2]","Pocan, Mark [Rep.-D-WI-2]","Johnson, Henry C. ""Hank"" [Rep.-D-GA-4]","Turner, Sylvester [Rep.-D-TX-18]","Budzinski, Nikki [Rep.-D-IL-13]","Titus, Dina [Rep.-D-NV-1]","Cisneros, Gilbert Ray, Jr. [Rep.-D-CA-31]","Sherrill, Mikie [Rep.-D-NJ-11]","Cohen, Steve [Rep.-D-TN-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 219,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/219,119th Congress (2025-2026),"To direct the Comptroller General of the United States to conduct a study on menopause care furnished by the Department of Veterans Affairs, and for other purposes.","Brownley, Julia [Rep.-D-CA-26] (Introduced 01/07/2025)",Democratic,1/7/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/7/2025,"Norton, Eleanor Holmes [Del.-D-DC]","Tlaib, Rashida [Rep.-D-MI-12]","Landsman, Greg [Rep.-D-OH-1]","Ramirez, Delia C. [Rep.-D-IL-3]","Scanlon, Mary Gay [Rep.-D-PA-5]","Salinas, Andrea [Rep.-D-OR-6]","Hayes, Jahana [Rep.-D-CT-5]","Gottheimer, Josh [Rep.-D-NJ-5]","Titus, Dina [Rep.-D-NV-1]","Johnson, Henry C. ""Hank"" [Rep.-D-GA-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 218,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/218,119th Congress (2025-2026),"To authorize State enforcement of immigration laws, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/07/2025)",Republican,1/7/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/7/2025,"Mace, Nancy [Rep.-R-SC-1]","Luna, Anna Paulina [Rep.-R-FL-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 217,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/217,119th Congress (2025-2026),"To amend title 38, United States Code, to make permanent the pilot program authorized by the Communities Helping Invest through Property and Improvements Needed for Veterans Act of 2016, and for other purposes.","Bacon, Don [Rep.-R-NE-2] (Introduced 01/07/2025)",Republican,1/7/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 216,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/216,119th Congress (2025-2026),"To amend the Securities Act of 1933, the Securities Exchange Act of 1934, the Investment Company Act of 1940, and the Investment Advisors Act of 1940 with respect to the determination of violations.","Sessions, Pete [Rep.-R-TX-17] (Introduced 01/07/2025)",Republican,1/7/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 215,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/215,119th Congress (2025-2026),To amend title V of the Social Security Act to require assurances that certain family planning service projects and programs will provide pamphlets containing the contact information of adoption centers.,"Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/06/2025)",Republican,1/6/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/6/2025,"Grothman, Glenn [Rep.-R-WI-6]","LaMalfa, Doug [Rep.-R-CA-1]","Higgins, Clay [Rep.-R-LA-3]","Mann, Tracey [Rep.-R-KS-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 214,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/214,119th Congress (2025-2026),To amend the District of Columba Home Rule Act to eliminate the Congressional review period for District of Columbia acts.,"Norton, Eleanor Holmes [Del.-D-DC] (Introduced 01/06/2025)",Democratic,1/6/2025,"House - Oversight and Government Reform, Rules","Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/6/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 213,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/213,119th Congress (2025-2026),"To prohibit the use of Federal financial assistance for a certain high-speed rail development project in the State of California, and for other purposes.","Kiley, Kevin [Rep.-R-CA-3] (Introduced 01/06/2025)",Republican,1/6/2025,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1/6/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 212,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/212,119th Congress (2025-2026),"To direct the Architect of the Capitol to design and install in the United States Capitol an exhibit that depicts the attack on the Capitol that occurred on January 6, 2021, and for other purposes.","Crow, Jason [Rep.-D-CO-6] (Introduced 01/06/2025)",Democratic,1/6/2025,House - House Administration,Referred to the House Committee on House Administration.,1/6/2025,"Correa, J. Luis [Rep.-D-CA-46]","Jacobs, Sara [Rep.-D-CA-51]","Jayapal, Pramila [Rep.-D-WA-7]","Torres, Norma J. [Rep.-D-CA-35]","Thompson, Bennie G. [Rep.-D-MS-2]","Chu, Judy [Rep.-D-CA-28]","Aguilar, Pete [Rep.-D-CA-33]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Barragán, Nanette Diaz [Rep.-D-CA-44]","Gomez, Jimmy [Rep.-D-CA-34]","Panetta, Jimmy [Rep.-D-CA-19]","Meng, Grace [Rep.-D-NY-6]","Tonko, Paul [Rep.-D-NY-20]","Tlaib, Rashida [Rep.-D-MI-12]","Titus, Dina [Rep.-D-NV-1]","Soto, Darren [Rep.-D-FL-9]","Green, Al [Rep.-D-TX-9]","Bishop, Sanford D. [Rep.-D-GA-2]","Huffman, Jared [Rep.-D-CA-2]","Goldman, Daniel S. [Rep.-D-NY-10]","Thanedar, Shri [Rep.-D-MI-13]","Williams, Nikema [Rep.-D-GA-5]","Doggett, Lloyd [Rep.-D-TX-37]","Norton, Eleanor Holmes [Del.-D-DC]","García, Jesús G. ""Chuy"" [Rep.-D-IL-4]","Neguse, Joe [Rep.-D-CO-2]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Quigley, Mike [Rep.-D-IL-5]","Crockett, Jasmine [Rep.-D-TX-30]","Salinas, Andrea [Rep.-D-OR-6]","Schakowsky, Janice D. [Rep.-D-IL-9]","Hayes, Jahana [Rep.-D-CT-5]","McGovern, James P. [Rep.-D-MA-2]","Swalwell, Eric [Rep.-D-CA-14]","Dean, Madeleine [Rep.-D-PA-4]","Cisneros, Gilbert Ray, Jr. [Rep.-D-CA-31]","Amo, Gabe [Rep.-D-RI-1]","Fletcher, Lizzie [Rep.-D-TX-7]","DeSaulnier, Mark [Rep.-D-CA-10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 211,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/211,119th Congress (2025-2026),"To amend title 38, United States Code, to provide for limitations on copayments for contraception furnished by the Department of Veterans Affairs, and for other purposes.","Brownley, Julia [Rep.-D-CA-26] (Introduced 01/06/2025)",Democratic,1/6/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/6/2025,"McClellan, Jennifer L. [Rep.-D-VA-4]","Cohen, Steve [Rep.-D-TN-9]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Morelle, Joseph D. [Rep.-D-NY-25]","Strickland, Marilyn [Rep.-D-WA-10]","Peters, Scott H. [Rep.-D-CA-50]","Khanna, Ro [Rep.-D-CA-17]","Frankel, Lois [Rep.-D-FL-22]","Landsman, Greg [Rep.-D-OH-1]","Ramirez, Delia C. [Rep.-D-IL-3]","Schakowsky, Janice D. [Rep.-D-IL-9]","Titus, Dina [Rep.-D-NV-1]","Scanlon, Mary Gay [Rep.-D-PA-5]","Crow, Jason [Rep.-D-CO-6]","Gottheimer, Josh [Rep.-D-NJ-5]","Norton, Eleanor Holmes [Del.-D-DC]","Tlaib, Rashida [Rep.-D-MI-12]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Pocan, Mark [Rep.-D-WI-2]","Turner, Sylvester [Rep.-D-TX-18]","Sherrill, Mikie [Rep.-D-NJ-11]","Tonko, Paul [Rep.-D-NY-20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 210,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/210,119th Congress (2025-2026),"To amend title 38, United States Code, to require the Secretary of Veterans Affairs to furnish dental care in the same manner as any other medical service, and for other purposes.","Brownley, Julia [Rep.-D-CA-26] (Introduced 01/06/2025)",Democratic,1/6/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/6/2025,"Moore, Gwen [Rep.-D-WI-4]","Cohen, Steve [Rep.-D-TN-9]","Keating, William R. [Rep.-D-MA-9]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Johnson, Henry C. ""Hank"" [Rep.-D-GA-4]","Dingell, Debbie [Rep.-D-MI-6]","Barragán, Nanette Diaz [Rep.-D-CA-44]","Tlaib, Rashida [Rep.-D-MI-12]","Landsman, Greg [Rep.-D-OH-1]","Amo, Gabe [Rep.-D-RI-1]","Norton, Eleanor Holmes [Del.-D-DC]","Ramirez, Delia C. [Rep.-D-IL-3]","Tokuda, Jill N. [Rep.-D-HI-2]","Casten, Sean [Rep.-D-IL-6]","Pocan, Mark [Rep.-D-WI-2]","Carbajal, Salud O. [Rep.-D-CA-24]","Bonamici, Suzanne [Rep.-D-OR-1]","Kelly, Robin L. [Rep.-D-IL-2]","Quigley, Mike [Rep.-D-IL-5]","Hoyle, Val T. [Rep.-D-OR-4]","Panetta, Jimmy [Rep.-D-CA-19]","DelBene, Suzan K. [Rep.-D-WA-1]","Waters, Maxine [Rep.-D-CA-43]","Salinas, Andrea [Rep.-D-OR-6]","Torres, Norma J. [Rep.-D-CA-35]","Hayes, Jahana [Rep.-D-CT-5]","Correa, J. Luis [Rep.-D-CA-46]","Cleaver, Emanuel [Rep.-D-MO-5]","McIver, LaMonica [Rep.-D-NJ-10]","Turner, Sylvester [Rep.-D-TX-18]","Budzinski, Nikki [Rep.-D-IL-13]","Titus, Dina [Rep.-D-NV-1]","Jackson, Jonathan L. [Rep.-D-IL-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 209,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/209,119th Congress (2025-2026),"To hold the salaries of Members of a House of Congress in escrow if the House of Congress does not pass regular appropriation bills on a timely basis during a Congress, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - House Administration,Referred to the House Committee on House Administration.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 208,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/208,119th Congress (2025-2026),To provide that the salaries of Members of a House of Congress will be held in escrow if that House has not agreed to a concurrent resolution on the budget for the next fiscal year by April 15.,"Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - House Administration,Referred to the House Committee on House Administration.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 207,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/207,119th Congress (2025-2026),"To direct the Secretary of Commerce to establish a task force regarding shark depredation, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,"Webster, Daniel [Rep.-R-FL-11]","Soto, Darren [Rep.-D-FL-9]","Veasey, Marc A. [Rep.-D-TX-33]","Donalds, Byron [Rep.-R-FL-19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 206,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/206,119th Congress (2025-2026),"To amend the Fair Housing Act to prohibit discrimination based on use of section 8 vouchers, and for other purposes.","Velázquez, Nydia M. [Rep.-D-NY-7] (Introduced 01/03/2025)",Democratic,1/3/2025,"House - Financial Services, Ways and Means, Judiciary","Referred to the Committee on Financial Services, and in addition to the Committees on Ways and Means, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 205,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/205,119th Congress (2025-2026),To prohibit the use of Federal funds for congressional earmarks targeted to a State or unit of local government that is a sanctuary jurisdiction.,"Van Duyne, Beth [Rep.-R-TX-24] (Introduced 01/03/2025)",Republican,1/3/2025,"House - Judiciary, Oversight and Government Reform","Referred to the Committee on the Judiciary, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/3/2025,"Ellzey, Jake [Rep.-R-TX-6]","Guest, Michael [Rep.-R-MS-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 204,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/204,119th Congress (2025-2026),"To require that the Secretary of Agriculture and the Secretary of the Interior submit accurate reports regarding hazardous fuels reduction activities, and for other purposes.","Tiffany, Thomas P. [Rep.-R-WI-7] (Introduced 01/03/2025)",Republican,1/3/2025,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 203,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/203,119th Congress (2025-2026),"To withhold Federal highway funds from States that provide driver's licenses or identification cards to aliens who are unlawfully present in the United States, and for other purposes.","Tenney, Claudia [Rep.-R-NY-24] (Introduced 01/03/2025)",Republican,1/3/2025,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1/3/2025,"Langworthy, Nicholas A. [Rep.-R-NY-23]","Hamadeh, Abraham [Rep.-R-AZ-8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 202,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/202,119th Congress (2025-2026),"To establish a commission to study the relocation of certain agencies outside of the Washington, D.C. metropolitan area, and for other purposes.","Tenney, Claudia [Rep.-R-NY-24] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 201,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/201,119th Congress (2025-2026),"To implement a 5-year pilot program establishing a performance-based pay structure for certain Federal employees in order to enhance productivity, accountability, and employee satisfaction in public service.","Tenney, Claudia [Rep.-R-NY-24] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
